anchor_ts_ms,hedge_ts_ms,market_end_ms,market_slug,leg1_budget,first_ask,second_ask,qty,leg1_cost,leg2_cost,friction,total_cost,pair_cost_net,status,payout,pnl
1789765359942,1789765374995,1789765500000,btc-updown-5m-1789765200,20.0,0.11,0.9,98.56,10.8416,88.70400000000001,0.4928,100.03840000000001,1.015,SETTLED,98.56,-1.4784000000000077
1789765375566,1789765390643,1789765500000,btc-updown-5m-1789765200,20.0,0.11,0.9,181.8181818181818,20.0,163.63636363636363,0.9090909090909091,184.54545454545453,1.015,SETTLED,181.8181818181818,-2.7272727272727195
1789765390643,1789765405676,1789765500000,btc-updown-5m-1789765200,20.0,0.11,0.9,166.4,18.304000000000002,149.76000000000002,0.8320000000000001,168.89600000000002,1.015,SETTLED,166.4,-2.4960000000000093
1789765405676,1789765420753,1789765500000,btc-updown-5m-1789765200,20.0,0.11,0.9,29.304028126569595,3.2234430939226555,26.373625313912637,0.146520140632848,29.74358854846814,1.015,SETTLED,29.304028126569595,-0.4395604218985447
1789765741765,1789765756815,1789765800000,btc-updown-5m-1789765500,20.0,0.07,0.93,7.0,0.49000000000000005,6.510000000000001,0.035,7.035000000000001,1.005,SETTLED,7.0,-0.03500000000000103
1789765757479,1789765772552,1789765800000,btc-updown-5m-1789765500,20.0,0.08,0.94,199.77,15.981600000000002,187.78379999999999,0.9988500000000001,204.76425,1.025,SETTLED,199.77,-4.994249999999994
1789765773058,1789765788065,1789765800000,btc-updown-5m-1789765500,20.0,0.07,0.94,167.0,11.690000000000001,156.98,0.835,169.505,1.015,SETTLED,167.0,-2.5049999999999955
1789765788917,1789765803979,1789765800000,btc-updown-5m-1789765500,20.0,0.07,0.28,207.0,14.490000000000002,57.96000000000001,1.035,73.48500000000001,0.35500000000000004,SETTLED,207.0,133.515
1789766650992,1789766666015,1789766700000,btc-updown-5m-1789766400,20.0,0.14,0.92,19.16,2.6824000000000003,17.627200000000002,0.0958,20.405400000000004,1.065,SETTLED,19.16,-1.2454000000000036
1789766666619,1789766681643,1789766700000,btc-updown-5m-1789766400,20.0,0.1,0.94,50.0,5.0,47.0,0.25,52.25,1.045,SETTLED,50.0,-2.25
1789766682038,1789766703624,1789766700000,btc-updown-5m-1789766400,20.0,0.09,0.5,67.38,6.0642,33.69,0.3369,40.0911,0.595,SETTLED,67.38,27.288899999999998
1789768449781,1789768464781,1789768500000,btc-updown-5m-1789768200,20.0,0.03,0.98,136.33,4.0899,133.60340000000002,0.6816500000000001,138.37495,1.015,SETTLED,136.33,-2.04495
1789768465395,1789768480396,1789768500000,btc-updown-5m-1789768200,20.0,0.03,0.98,16.33,0.48989999999999995,16.0034,0.08164999999999999,16.574949999999998,1.015,SETTLED,16.33,-0.24494999999999933
1789768481257,1789768496281,1789768500000,btc-updown-5m-1789768200,20.0,0.03,0.99,470.0332832671645,14.100998498014935,465.33295043449283,2.3501664163358225,481.78411534884356,1.025,SETTLED,470.0332832671645,-11.75083208167905
1789768731390,1789768746406,1789768800000,btc-updown-5m-1789768500,20.0,0.04,0.97,134.99,5.3996,130.9403,0.67495,137.01485,1.015,SETTLED,134.99,-2.0248499999999865
1789768747005,1789768762014,1789768800000,btc-updown-5m-1789768500,20.0,0.04,0.97,167.23,6.6892,162.2131,0.83615,169.73845,1.015,SETTLED,167.23,-2.5084500000000105
